Cidades,Quantidade_ton,PIB_reais_correntes_2016,População,Grau de Urbanização (Em %)
Potim,24000,187880.3,20303,75.83
Potirendaba,2040,507078.1,16296,91.53
Pracinha,836,26745.83,2893,47.91
Pradopolis,3450,736528.6,19925,93.09
Praia Grande,140457,6181076,301024,100
Pratania,1912,101120.2,4983,79.91
Presidente Alves,48,76266.39,4044,86.72
Presidente Bernardes,1000,253327.5,13689,81.97
Presidente Epitacio,10534,1041395,42060,93.77
Presidente Prudente,100371,7406410,217290,97.96
Presidente Venceslau,33084,701394.7,37997,96.73
Promissao,3935,2803097,38481,85.49
Quadra,810,90695.08,3571,25.82
Quata,16820,452458.8,13599,94.75
Queiroz,450,427977,3136,88.71
Queluz,1730,237968.9,12285,82.01
Quintana,2002,152374.3,6355,92.18
Rafard,2040,306235.4,8852,89.57
Rancharia,12234,1152273,28818,91.24
Redenção da Serra,850,53758.39,3843,68.12
Regente Feijo,31386,611870.5,19203,93.44
Reginopolis,3036,129573.9,7241,59.56
Registro,25443,1823615,54091,88.77
Restinga,1100,175335,7218,81.35
Ribeirao Bonito,2160,226251.2,12707,94.12
Ribeirao Branco,6480,407476.8,17723,56.83
Ribeirao Corrente,889,112561.2,4548,81.84
Ribeirao Grande,900,166380.6,7483,31.67
Ribeirao Pires,35420,3021839,117395,100
Ribeirao Preto,447123,29986609,661997,99.72
Rifaina,1576,86401.77,3458,88.4
Rincao,3688,174151,10466,82.1
Rinopolis,1244,219211.6,9776,90.6
Rio Claro,54339,8858141,196904,97.75
Rio das Pedras,9592,1114580,33041,97.66
Rio Grande da Serra,8222,578086.5,48076,100
Riolandia,1562,204548.2,11170,79.11
Riversul,490,59368.25,5817,74.73
Rosana,1222,2232363,18689,94.57
Roseira,2525,269308.9,10339,95.73
Rubineia,1080,67891.71,2956,86.4
Sabino,1187,118548.8,5399,90.33
Sagres,404,40943.94,2365,82.03
Sales,1460,130286.2,5889,92.58
Sales Oliveira,2546,320498.7,11255,93.33
Salesopolis,3612,196020.4,16468,65.56
Saltinho,1708,197474.8,7652,83.77
Salto,199542,6204762,112449,99.3
Salto de Pirapora,9662,1263910,43043,78.62
Salto Grande,7760,216574.3,8996,91.66
Santa Adelia,3445,299404,14735,94.6
Santa Albertina,900,190216.8,5691,88.24
Santa Barbara D Oeste,47717,5079379,186296,99.22
Santa Branca,2503,251489.7,14059,88.21
Santa Clara D Oeste,722,51418.8,2035,79.07
Santa Cruz da Conceicao,354,131442.5,4247,75.3
Santa Cruz da Esperanca,432,50426.26,2041,68.5
Santa Cruz das Palmeiras,9328,453166.8,32622,97.65
Santa Cruz do Rio Pardo,10619,1970531,45452,93.33
Santa Ernestina,1477,89108.09,5534,95.61
Santa Fe do Sul,40320,955477.6,30353,96.06
Santa Gertrudes,7405,1300024,24818,98.94
Santa Isabel,18127,1238723,53748,80.39
Santa Lucia,803,100238.8,8474,95.47
Santa Maria da Serra,1358,113636.4,5918,90.17
Santa Mercedes,2813,61268.29,2815,90.3
Santa Rita D Oeste,1148,55812.13,2446,76.41
Santa Rita do Passa Quatro,6473,621984.7,26419,91.31
Santa Rosa de Viterbo,23022,729410.8,25096,95.97
Santana da Ponte Pensa,278,33947.69,1543,72
Santana de Parnaiba,65807,8485338,129502,100
Santo Anastacio,5652,397047.8,20205,93.98
Santo Andre,341847,25837046,688899,100
Santo Antonio da Alegria,5754,149909.8,6541,74.96
Santo Expedito,561,33299.67,2923,92.2
Santopolis do Aguapei,971,60763.09,4555,97.39
Santos,185780,21954557,425621,99.93
Sao Bento do Sapucai,3600,178593.4,10501,50.58
Sao Bernardo do Campo,258808,42131380,799645,98.37
Sao Caetano do Sul,61125,13286711,150860,100
Sao Carlos,233256,10063062,236958,96
Sao Francisco,1130,46814.36,2712,80.9
Sao Joao da Boa Vista,30790,2751092,86349,97.08
Sao Joao de Iracema,360,30389.73,1832,87.39
